YEAR,CITIES,POPULATION
2000,NYK,"8,015,348"
2000,LAL,"3,703,921"
2000,CHI,"2,895,671"
2000,HOU,"1,977,811"
2000,PHI,"1,513,800"
2000,PHO,"1,326,997"
2000,SanDiego,"1,226,804"
2000,DAL,"1,190,731"
2000,SAS,"1,163,825"
2000,DET,"945,297"
2000,SanJose,"903,540"
2000,IND,"782,254"
2000,GSW,"777,360"
2000,Jacksonville,"736,583"
2000,Columbus,"715,971"
2000,MEM,"690,186"
2000,Austin,"672,241"
2000,Baltimore,"648,654"
2000,MIL,"597,049"
2000,BOS,"590,433"
2000,WAS,"571,744"
2000,CHH,"569,858"
2000,ElPaso,"564,792"
2000,SEA,"564,092"
2000,DEN,"556,094"
2000,Louisville/JeffersonCounty,"553,960"
2000,FortWorth,"545,993"
2000,Nashville-Davidson,"545,902"
2000,POR,"529,922"
2000,OklahomaCity,"507,579"
2000,Tucson,"489,355"
2000,LasVegas,"484,487"
2000,NewOrleans,"483,663"
2000,CLE,"476,574"
2000,LongBeach,"462,166"
2000,Albuquerque,"450,557"
2000,KansasCity,"442,369"
2000,Fresno,"430,724"
2000,VirginiaBeach,"426,534"
2000,ATL,"421,323"
2000,Omaha,"409,868"
2000,SAC,"409,230"
2000,Mesa,"402,853"
2000,Oakland,"400,674"
2000,Tulsa,"392,850"
2000,MIN,"382,545"
2000,Honolulu,"370,966"
2000,MIA,"363,177"
2000,ColoradoSprings,"362,186"
2000,Wichita,"352,366"
2000,St.Louis,"346,904"
2000,SantaAna,"338,506"
2000,Arlington,"334,792"
2000,Pittsburgh,"333,703"
2000,Cincinnati,"331,258"
2000,Anaheim,"329,267"
2000,Toledo,"313,691"
2000,Tampa,"304,157"
2000,Buffalo,"292,210"
2000,Raleigh,"290,184"
2000,St.Paul,"286,772"
2000,Aurora,"277,825"
2000,CorpusChristi,"277,253"
2000,NJN,"272,665"
2000,Lexington-Fayette,"261,189"
2000,Anchorage,"260,586"
2000,Riverside,"258,427"
2000,FortWayne,"253,914"
2000,St.Petersburg,"248,751"
2000,Bakersfield,"244,952"
2000,Stockton,"244,611"
2000,Birmingham,"242,051"
2000,JerseyCity,"240,028"
2000,Norfolk,"234,288"
2000,Greensboro,"228,518"
2000,BatonRouge,"228,350"
2000,Lincoln,"227,701"
2000,Hialeah,"226,142"
2000,Plano,"224,189"
2000,Glendale,"221,780"
2000,Rochester,"219,474"
2000,Akron,"216,853"
2000,Garland,"216,016"
2000,Madison,"210,070"
2000,Fremont,"204,294"
2000,Scottsdale,"204,285"
2000,Winston-Salem,"202,198"
2000,Montgomery,"201,714"
2000,Shreveport,"200,575"
2000,Chesapeake,"200,283"
2000,Lubbock,"200,231"
2000,DesMoines,"199,607"
2000,Fayetteville,"199,429"
2000,Mobile,"198,774"
2000,GrandRapids,"197,937"
2000,Richmond,"197,742"
2000,Spokane,"196,917"
2000,Yonkers,"196,221"
2000,BoiseCity,"195,589"
2000,Glendale,"195,315"
2000,Augusta-RichmondCounty,"195,048"
2000,ORL,"194,723"
2000,Tacoma,"193,878"
2000,Irving,"191,939"
2000,Modesto,"190,177"
2000,HuntingtonBeach,"190,003"
2000,Arlington,"189,527"
2000,SanBernardino,"189,019"
2000,Durham,"188,870"
2000,Columbus,"186,505"
2000,Jackson,"185,260"
2000,Reno,"183,973"
2000,LittleRock,"183,374"
2000,UTA,"181,779"
2000,NewportNews,"180,267"
2000,Chandler,"179,577"
2000,Laredo,"179,492"
2000,Henderson,"179,241"
2000,Knoxville,"176,273"
2000,ChulaVista,"175,608"
2000,Amarillo,"174,015"
2000,Providence,"173,861"
2000,Worcester,"172,500"
2000,Oxnard,"171,614"
2000,FortLauderdale,"171,099"
2000,Dayton,"165,804"
2000,GardenGrove,"165,407"
2000,Oceanside,"161,945"
2000,Huntsville,"160,097"
2000,Tempe,"158,860"
2000,Ontario,"158,664"
2000,Chattanooga,"156,770"
2000,SantaClarita,"155,628"
2000,Tallahassee,"152,967"
2000,Springfield,"152,231"
2000,Springfield,"151,895"
2000,Rockford,"151,826"
2000,OverlandPark,"151,705"
2000,Paterson,"149,309"
2000,SantaRosa,"149,276"
2000,Pomona,"148,112"
2000,KansasCity,"146,790"
2000,Fontana,"146,735"
2000,Irvine,"146,689"
2000,Vancouver,"146,574"
2000,Hampton,"146,424"
2000,Syracuse,"146,070"
2000,Aurora,"144,476"
2000,Lakewood,"144,410"
2000,Salinas,"143,497"
2000,Brownsville,"143,368"
2000,MorenoValley,"143,256"
2000,Pasadena,"141,958"
2000,Hayward,"140,996"
2000,Hollywood,"139,703"
2000,Bridgeport,"139,650"
2000,Eugene,"139,096"
2000,PembrokePines,"138,241"
