Teams,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
LAL,12,13,14,14,14,14,14,14,14,15,16,16,16,16,16,16,16,16,16,16
BOS,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17
GSW,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,6,6
CHI,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
SAS,1,1,1,2,2,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5
PHI,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
DET,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
MIA,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3
NYK,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
HOU,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ATL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OKC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DAL,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
